//X;Y;Z;R;G;B;Number_of_Returns;Return_Number;Time;Intensity
0.91700178;10.32999992;2.30340576;114;114;105;1.000000;1.000000;68264.812500;3893.000000
0.83500183;10.38899994;2.22440577;34;33;29;1.000000;1.000000;68264.812500;3893.000000
0.93400180;10.70600033;2.20240569;117;106;89;1.000000;1.000000;68264.812500;9084.000000
1.00400186;10.90600014;2.18840575;139;125;108;1.000000;1.000000;68264.812500;8435.000000
1.06500185;10.99300003;2.20640564;124;120;105;1.000000;1.000000;68264.812500;11680.000000
1.07100177;11.02000046;2.20040560;66;67;51;1.000000;1.000000;68264.812500;16222.000000
1.09200180;11.10599995;2.18640566;115;123;126;1.000000;1.000000;68264.812500;7786.000000
1.12000179;11.17000008;2.18440557;113;120;128;1.000000;1.000000;68264.812500;7786.000000
1.16500175;11.26599979;2.18340564;109;116;126;1.000000;1.000000;68264.812500;7138.000000
1.22200179;11.38700008;2.18040562;135;141;153;1.000000;1.000000;68264.812500;5191.000000
1.27900183;11.52700043;2.16840577;153;159;171;1.000000;1.000000;68264.812500;5191.000000
1.27500176;11.54699993;2.15540576;149;155;167;1.000000;1.000000;68264.812500;5191.000000
1.26600182;11.56499958;2.14040565;149;155;167;1.000000;1.000000;68264.812500;5191.000000
1.25800180;11.60599995;2.11540556;146;152;164;1.000000;1.000000;68264.812500;5191.000000
1.25400186;11.62600040;2.10340571;143;149;161;1.000000;1.000000;68264.812500;5191.000000
1.27300179;11.67700005;2.09540558;143;149;161;1.000000;1.000000;68264.812500;5191.000000
1.29200184;11.70600033;2.09740567;142;148;160;1.000000;1.000000;68264.812500;5191.000000
1.31700182;11.73900032;2.10340571;143;149;161;1.000000;1.000000;68264.812500;5191.000000
0.41100180;9.11200047;2.18240571;164;145;138;1.000000;1.000000;68264.859375;9733.000000
0.47100180;9.27499962;2.18840575;159;140;133;1.000000;1.000000;68264.859375;9733.000000
0.54700178;9.48099995;2.19540572;156;137;130;1.000000;1.000000;68264.859375;9733.000000
0.69000179;9.89400005;2.19540572;166;148;138;1.000000;1.000000;68264.859375;9084.000000
0.79600179;10.15600014;2.20240569;174;156;142;1.000000;1.000000;68264.859375;9084.000000
0.91100180;10.26599979;2.25540566;128;121;103;1.000000;1.000000;68264.859375;3893.000000
0.91500181;10.29800034;2.25040579;118;116;98;1.000000;1.000000;68264.859375;3893.000000
0.90900183;10.35099983;2.22940564;92;88;77;1.000000;1.000000;68264.859375;3893.000000
0.89600182;10.36999989;2.21440578;114;102;89;1.000000;1.000000;68264.859375;4542.000000
0.88600183;10.39299965;2.20040560;150;133;117;1.000000;1.000000;68264.859375;7138.000000
0.91300178;10.43799973;2.20640564;152;134;120;1.000000;1.000000;68264.859375;5840.000000
0.95000178;10.54500008;2.20140576;163;145;130;1.000000;1.000000;68264.859375;7138.000000
0.97200179;10.58600044;2.20440578;155;138;122;1.000000;1.000000;68264.859375;5840.000000
1.05400181;10.81999969;2.18940568;150;135;124;1.000000;1.000000;68264.859375;8435.000000
1.09200180;10.91699982;2.18440557;136;122;113;1.000000;1.000000;68264.859375;8435.000000
1.15300179;11.04800034;2.18440557;125;115;109;1.000000;1.000000;68264.859375;8435.000000
1.19200182;11.14099979;2.18040562;104;113;123;1.000000;1.000000;68264.859375;7138.000000
1.20700181;11.17199993;2.18040562;104;114;123;1.000000;1.000000;68264.859375;7138.000000
1.22200179;11.20300007;2.17940569;108;115;123;1.000000;1.000000;68264.859375;7138.000000
1.25400186;11.26500034;2.18040562;110;117;123;1.000000;1.000000;68264.859375;5191.000000
1.28200185;11.32400036;2.17940569;111;118;126;1.000000;1.000000;68264.859375;5191.000000
1.29900181;11.35500050;2.18040562;127;134;144;1.000000;1.000000;68264.859375;5191.000000
1.31500185;11.38500023;2.18040562;154;160;172;1.000000;1.000000;68264.859375;5191.000000
1.31900179;11.40900040;2.17340565;154;160;172;1.000000;1.000000;68264.859375;5191.000000
1.30500185;11.42399979;2.15540576;173;179;191;1.000000;1.000000;68264.859375;5191.000000
1.30300176;11.46700001;2.13540578;148;154;166;1.000000;1.000000;68264.859375;5191.000000
1.29300177;11.52900028;2.09840560;141;149;162;1.000000;1.000000;68264.859375;5840.000000
1.30700183;11.55700016;2.09740567;140;148;161;1.000000;1.000000;68264.859375;5840.000000
1.33100176;11.58800030;2.10340571;140;148;161;1.000000;1.000000;68264.859375;5191.000000
1.34200180;11.61400032;2.10040569;140;148;161;1.000000;1.000000;68264.859375;5191.000000
0.45900181;9.06799984;2.17740560;162;143;136;1.000000;1.000000;68264.906250;7138.000000
0.49700180;9.17399979;2.18140578;163;144;137;1.000000;1.000000;68264.906250;7138.000000
0.77300179;9.92700005;2.19340563;170;152;142;1.000000;1.000000;68264.906250;9084.000000
0.82800180;10.05700016;2.19840574;176;158;146;1.000000;1.000000;68264.906250;9084.000000
0.86600178;10.14400005;2.20240569;170;153;137;1.000000;1.000000;68264.906250;9084.000000
0.92200178;10.29500008;2.19840574;152;133;118;1.000000;1.000000;68264.906250;9084.000000
1.01300180;10.51799965;2.19740558;150;132;118;1.000000;1.000000;68264.914063;9084.000000
1.09100175;10.64400005;2.21540570;72;68;43;1.000000;1.000000;68264.914063;10382.000000
1.11700177;10.78699970;2.18640566;155;142;133;1.000000;1.000000;68264.914063;8435.000000
1.17000175;10.89000034;2.19040561;144;127;122;1.000000;1.000000;68264.914063;7786.000000
1.23000181;11.01799965;2.18940568;127;119;106;1.000000;1.000000;68264.914063;7786.000000
1.35400176;11.30700016;2.17140555;129;136;146;1.000000;1.000000;68264.914063;5191.000000
1.33900177;11.34399986;2.14340568;133;140;150;1.000000;1.000000;68264.914063;5191.000000
1.33500183;11.36400032;2.13140559;135;141;153;1.000000;1.000000;68264.914063;5191.000000
1.34600174;11.45600033;2.09840560;146;152;164;1.000000;1.000000;68264.914063;3893.000000
1.38400185;11.51399994;2.10340571;144;152;163;1.000000;1.000000;68264.914063;5840.000000
0.46500179;8.86800003;2.17840576;155;136;129;1.000000;1.000000;68264.960938;7138.000000
0.47700179;8.91600037;2.17740560;160;141;134;1.000000;1.000000;68264.960938;7138.000000
0.50900179;9.01900005;2.17740560;153;134;127;1.000000;1.000000;68264.960938;7138.000000
0.53000182;9.07200050;2.18040562;167;148;141;1.000000;1.000000;68264.960938;7138.000000
0.54400182;9.12100029;2.17940569;160;141;134;1.000000;1.000000;68264.960938;7138.000000
0.69800180;9.52099991;2.19340563;157;138;131;1.000000;1.000000;68264.960938;7138.000000
0.91400182;10.07800007;2.20040560;159;141;129;1.000000;1.000000;68264.960938;7138.000000
1.05300176;10.41800022;2.20040560;159;141;127;1.000000;1.000000;68264.960938;5840.000000
1.10400176;10.55300045;2.19440556;152;137;132;1.000000;1.000000;68264.960938;7786.000000
1.17000175;10.71800041;2.18740559;142;129;120;1.000000;1.000000;68264.960938;8435.000000
1.19800174;10.78199959;2.18540573;155;138;130;1.000000;1.000000;68264.960938;8435.000000
1.22700179;10.84599972;2.18440557;147;137;127;1.000000;1.000000;68264.960938;7786.000000
1.28000176;10.94499969;2.18840575;138;132;120;1.000000;1.000000;68264.960938;9084.000000
1.30900180;10.98299980;2.19740558;85;79;67;1.000000;1.000000;68264.960938;12977.000000
1.29400182;10.99899960;2.17940569;68;64;52;1.000000;1.000000;68264.960938;11680.000000
1.34200180;11.09099960;2.18040562;145;131;125;1.000000;1.000000;68264.960938;7138.000000
1.37200177;11.14999962;2.18040562;148;144;134;1.000000;1.000000;68264.960938;7138.000000
1.37400174;11.17300034;2.17140555;124;125;129;1.000000;1.000000;68264.960938;7138.000000
1.37500179;11.19600010;2.16340566;124;128;139;1.000000;1.000000;68264.960938;7138.000000
1.37100184;11.21599960;2.15140557;123;130;140;1.000000;1.000000;68264.960938;5840.000000
0.47600180;8.74199963;2.17240572;160;146;138;1.000000;1.000000;68265.007813;7138.000000
0.55200177;8.95600033;2.17840576;162;143;136;1.000000;1.000000;68265.007813;7138.000000
0.58200181;9.05500031;2.17740560;162;143;136;1.000000;1.000000;68265.007813;7138.000000
0.60200179;9.10700035;2.17940569;153;134;127;1.000000;1.000000;68265.007813;7138.000000
0.61800182;9.15499973;2.18040562;158;139;132;1.000000;1.000000;68265.007813;7138.000000
0.65900183;9.25599957;2.18440557;141;122;115;1.000000;1.000000;68265.007813;7138.000000
0.68700182;9.31299973;2.19040561;157;138;131;1.000000;1.000000;68265.007813;7138.000000
